Identifiant;Enseigne;Adresse;Etat;ACTIVITE;Activité regroupée CCI;commerce zéro déchet;Secteur;ZFU;Quartier Politique de la ville;A vendre, A louer;geo_shape;geo_point_2d;latitude;longitude
25;RENAULT ROUBAIX;10 AVENUE ANDRE DILIGENT;OUV;GA;7;;CENTRE;N;N;;"{""type"": ""Point"", ""coordinates"": [3.176385095476596, 50.687291947255446]}";50.6872919473,3.17638509548;50.6872919473;3.17638509548
30;MADE IN STREET HOT DOG;10 PLACE DE LA LIBERTE;OUV;RR;6;;CENTRE;O;N;Ouvert à la location_Ouvert à la vente;"{""type"": ""Point"", ""coordinates"": [3.178256983623313, 50.69209758745904]}";50.6920975875,3.17825698362;50.6920975875;3.17825698362
94;LA QSP GALERIE;112 AVENUE JEAN BAPTISTE LEBAS;OUV;AUTRES TYPE DE SERVICES;7;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.165084860015416, 50.695056716062986]}";50.6950567161,3.16508486002;50.6950567161;3.16508486002
57;LES MILLES MERVEILLES;105 RUE DE LANNOY;OUV;VET;2;;EST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.183435124932433, 50.68805929949872]}";50.6880592995,3.18343512493;50.6880592995;3.18343512493
69;PHARMACIE CORNET;108 RUE DE LANNOY;OUV;PH;5;;EST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.183008381487, 50.68824019581838]}";50.6882401958,3.18300838149;50.6882401958;3.18300838149
102;;114 RUE DE LANNOY;DISPO;;8;;EST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.183188176846765, 50.68810368980306]}";50.6881036898,3.18318817685;50.6881036898;3.18318817685
112;FILL'IN GOOD;117 GRANDE RUE;OUV;RR;6;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.181801563517745, 50.69305699934286]}";50.6930569993,3.18180156352;50.6930569993;3.18180156352
37;BOULANGERIE DE L'ALMA;100 RUE DE L ALMA;OUV;BO;1;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.166687806382822, 50.69760315259405]}";50.6976031526,3.16668780638;50.6976031526;3.16668780638
15;;1 PLACE DE LA PATRIE;DISPO;;8;;OUEST;N;N;;"{""type"": ""Point"", ""coordinates"": [3.163334784727799, 50.69826893663963]}";50.6982689366,3.16333478473;50.6982689366;3.16333478473
66;CASS D'AL;107 RUE DE L HOMMELET;OUV;RR;6;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.182072585314523, 50.69640320122506]}";50.6964032012,3.18207258531;50.6964032012;3.18207258531
73;LE SULTAN DU MEUBLES;109 RUE DE CARTIGNY;OUV;EQUIPEMENT DE LA MAISON;3;;NORD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.190853009189014, 50.70136368730562]}";50.7013636873,3.19085300919;50.7013636873;3.19085300919
32;;10 RUE DU MARECHAL FOCH;DISPO;;8;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.173259131144067, 50.69073018230949]}";50.6907301823,3.17325913114;50.6907301823;3.17325913114
108;AU PANIER GARNI;115 RUE JEAN MOULIN;OUV;ALIMENTAIRE;1;;SUD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.17676404926958, 50.684010803992976]}";50.684010804,3.17676404927;50.684010804;3.17676404927
18;;1 RUE DE L ALOUETTE;DISPO;;8;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.163177717797966, 50.69284319981773]}";50.6928431998,3.1631777178;50.6928431998;3.1631777178
101;;114 RUE CARPEAUX;DISPO;;8;;SUD;;;;"{""type"": ""Point"", ""coordinates"": [3.182664011286788, 50.67527712578526]}";50.6752771258,3.18266401129;50.6752771258;3.18266401129
79;CABINET SANDEVOIR;11 GRAND PLACE;OUV;AU;5;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.173112542082896, 50.69124809168785]}";50.6912480917,3.17311254208;50.6912480917;3.17311254208
55;DELIZIUS PIZZA;105 RUE DAUBENTON;OUV;RT;6;;NORD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.179209907055144, 50.70155923367443]}";50.7015592337,3.17920990706;50.7015592337;3.17920990706
91;BARBER COIF;111 GRANDE RUE;OUV;CF;5;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.181475901873988, 50.693001906775415]}";50.6930019068,3.18147590187;50.6930019068;3.18147590187
75;SULTAN MEUBLES;109 RUE DU CARTIGNY;OUV;EQUIPEMENT DE LA MAISON;3;;NORD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.190853009189014, 50.70136368730562]}";50.7013636873,3.19085300919;50.7013636873;3.19085300919
47;AIR DU TEMPS;102 RUE DE LA VIGNE;OUV;SERVICES A LA PERSONNE;5;;NORD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.183662598313174, 50.700738066062215]}";50.7007380661,3.18366259831;50.7007380661;3.18366259831
44;CAFE INTERVILLE;101 RUE DE MOUVAUX;OUV;DB;6;;OUEST;N;O;;"{""type"": ""Point"", ""coordinates"": [3.155495033483734, 50.69458257500514]}";50.694582575,3.15549503348;50.694582575;3.15549503348
105;PIZZA GARNIE;115 BOULEVARD DE FOURMIES;OUV;RT;6;;SUD;N;N;;"{""type"": ""Point"", ""coordinates"": [3.182482525384944, 50.67526040693376]}";50.6752604069,3.18248252538;50.6752604069;3.18248252538
88;CARLIER VOGLIAZZO;110 RUE DE L ALMA;OUV;ALIMENTAIRE;1;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.166977197982106, 50.69775800647374]}";50.6977580065,3.16697719798;50.6977580065;3.16697719798
1;;5 RUE DU VIEIL ABREUVOIR;PROJ;;5;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.173170726250535, 50.691941261566804]}";50.6919412616,3.17317072625;50.6919412616;3.17317072625
50;HELIOS VOYAGES;103 GRANDE RUE;OUV;AUTRES TYPE DE SERVICES;7;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.18101815141841, 50.69292779798153]}";50.692927798,3.18101815142;50.692927798;3.18101815142
43;CAFÉ  EL BELHADJ;101 RUE DE L EPEULE;OUV;RR;6;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.160735640400252, 50.6896070295672]}";50.6896070296,3.1607356404;50.6896070296;3.1607356404
95;LES DÉLICES DU MAGHREB;112 RUE DE L EPEULE;OUV;BO;1;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.160294193948777, 50.689497015060205]}";50.6894970151,3.16029419395;50.6894970151;3.16029419395
103;DENIZ KEBAB;114 RUE RUBENS;OUV;RR;6;;SUD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.18984811434189, 50.6719379047716]}";50.6719379048,3.18984811434;50.6719379048;3.18984811434
117;;118 RUE DE LANNOY;DISPO;;8;;EST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.183285179029219, 50.68802777220614]}";50.6880277722,3.18328517903;50.6880277722;3.18328517903
169;BOUCHERIE LWIZA;13 RUE DE TOURCOING;OUV;BC;1;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.174016142300464, 50.69963537366892]}";50.6996353737,3.1740161423;50.6996353737;3.1740161423
131;LOFT 122;120 RUE DE TOURCOING;OUV;RT;6;N;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.171276088167014, 50.70405930561911]}";50.7040593056,3.17127608817;50.7040593056;3.17127608817
150;IL  BACARO;127 AVENUE JEAN BAPTISTE LEBAS;OUV;RT;6;O;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.164471841574443, 50.69506788397232]}";50.695067884,3.16447184157;50.695067884;3.16447184157
202;SUPERMARKET;136 RUE DE LANNOY;OUV;ALIMENTAIRE;1;;EST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.183848712072194, 50.68760034536842]}";50.6876003454,3.18384871207;50.6876003454;3.18384871207
167;EVIDENCE COLLECTION;13 RUE DE L EPEULE;OUV;AU;5;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.163084458537942, 50.69173756100909]}";50.691737561,3.16308445854;50.691737561;3.16308445854
153;STAR LOUNGE;127 RUE DE LANNOY;OUV;CAFE HOTEL RESTAURANT;6;;EST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.184563940666091, 50.68730492699396]}";50.687304927,3.18456394067;50.687304927;3.18456394067
161;CHICKEN TUCKY;12 BOULEVARD DE BELFORT;OUV;CAFE HOTEL RESTAURANT;6;;EST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.183309336202013, 50.68875692475976]}";50.6887569248,3.1833093362;50.6887569248;3.1833093362
126;ANALINE ETHNIC MOD;12 RUE DU VIEIL ABREUVOIR;OUV;AU;5;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.173192288882316, 50.692040850079714]}";50.6920408501,3.17319228888;50.6920408501;3.17319228888
168;SALON DE THE BAKI;13 RUE DE LA VIGNE;OUV;CAFE HOTEL RESTAURANT;6;;NORD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.180621764036454, 50.700011440618546]}";50.7000114406,3.18062176404;50.7000114406;3.18062176404
156;PRESSE  DE L' EPEULE;128  RUE DE L EPEULE;OUV;AU;5;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.159728273343308, 50.6890388920456]}";50.689038892,3.15972827334;50.689038892;3.15972827334
